GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5004,edu.neu.ccs.cs5004,App,7,0,0,0,3,0,2,0,2,0
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,Lawyer,0,70,0,0,0,6,0,3,0,3
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,LegalSecretary,55,39,0,0,2,5,2,2,2,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,AbstractSecretary,0,11,0,0,0,3,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,GeneralSecretary,0,67,0,0,0,5,0,4,0,4
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,Name,0,79,2,8,0,13,2,9,0,6
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,AbstractEmployee,51,136,6,12,5,23,11,10,5,7
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem1,HRManager,0,86,0,0,0,8,0,4,0,4
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,Battleship,0,26,0,0,0,4,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,AbstractCell,4,64,4,6,0,14,4,7,0,6
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,EnemyShipCell,0,89,1,7,0,11,1,8,0,5
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,NotSunk,0,23,0,6,0,6,0,7,0,4
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,SpecificShipCell,0,34,0,0,0,3,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,AbstractShipCell,2,100,2,12,0,20,2,13,0,8
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,Submarine,0,26,0,0,0,4,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,Destoryer,0,26,0,0,0,4,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,Sunk,0,23,0,6,0,6,0,7,0,4
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,AbstractShip,0,88,1,9,0,15,1,11,0,7
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,GapCell,0,32,0,0,0,4,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,Cruiser,0,26,0,0,0,4,0,2,0,2
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,AbstractWaterCell,4,66,2,8,1,12,3,8,1,5
Assignment for class CS5004,edu.neu.ccs.cs5004.Problem2,OpenSeaCell,0,32,0,0,0,4,0,2,0,2
