GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,Request,0,89,0,14,0,24,0,13,0,6
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,Key,0,87,0,12,0,19,0,11,0,5
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,Result,3,152,2,22,1,36,2,21,0,11
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,CmdArgument,1,319,4,44,0,81,4,34,0,14
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,Printer,0,116,0,12,0,25,0,11,0,5
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,Bank,6,270,1,19,1,58,1,21,0,12
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,RsaKey,6,118,3,11,1,29,3,11,0,7
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,SecureBankVerificationSimulator,3,350,4,28,0,75,3,22,0,9
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,ClientInfo,0,131,0,10,0,33,0,18,0,13
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,Client,13,58,0,8,2,17,2,10,2,6
Assignment for class CS5004,edu.neu.ccs.cs5004.assignment10,CsvFileGenerator,7,97,0,2,0,31,0,4,0,3
